"Symbol","Description","Industry","SEC Filings","Type","Market cap","IPO Date","Issuing Symbol","Country","Action"
"CFFEU","CF Acquisition Corp. VIII","Shell Companies","","Common stocks","$0","03/12/2021","","USA","Analyze"
"GLHAU","Glass Houses Acquisition Corp.","Shell Companies","","Common stocks","$0","03/12/2021","","USA","Analyze"
"GTPAU","Gores Technology Partners, Inc.","","","Common stocks","$0","03/12/2021","","USA","Analyze"
"GTPBU","Gores Technology Partners II, Inc.","","","Common stocks","$0","03/12/2021","","USA","Analyze"
"HAYW","Hayward Holdings, Inc.","","Go","Common stocks","$0","03/12/2021","","USA","Analyze"
"JOAN","JOANN Inc.","","Go","Common stocks","$0","03/12/2021","","USA","Analyze"
"SCAQU","Stratim Cloud Acquisition Corp.","Shell Companies","","Common stocks","$0","03/12/2021","","USA","Analyze"
"SNCY","Sun Country Airlines Holdings, Inc.","","Go","Common stocks","$0","03/12/2021","","USA","Analyze"
"TETCU","Tech & Energy Transition Corp","","","Common stocks","$0","03/12/2021","","USA","Analyze"
"IGNY","Ignyte Acquisition Corp.","","","Common stocks","$0","03/12/2021","","","Analyze"
"LBPH","Longboard Pharmaceuticals, Inc.","","","Common stocks","$0","03/12/2021","","","Analyze"
"MITC","MeaTech 3D Ltd. - American Depositary Shares","","","ADRs","$0","03/12/2021","","","Analyze"
"MON","Monument Circle Acquisition Corp. - Class A","","","Common stocks","$0","03/12/2021","","","Analyze"
"OSTR","Oyster Enterprises Acquisition Corp. - Class A","","","Common stocks","$0","03/12/2021","","","Analyze"
"OUST","Ouster, Inc.","","","Common stocks","$0","03/12/2021","","","Analyze"
"TZPS","TZP Strategies Acquisition Corp. - Class A","","","Common stocks","$0","03/12/2021","","","Analyze"
"GLSPU","Global SPAC Partners Co. Unit","","","Common stocks","$0","03/12/2021","","","Analyze"
"CPNG","Coupang, Inc. Class A","","Go","Common stocks","$0","03/11/2021","","USA","Analyze"
"CSAN","Cosan S.A. ADRs","","Go","ADRs","$0","03/11/2021","","","Analyze"
"FHS","First High-School Education Group Co., Ltd. American Depositary Shares","","Go","ADRs","$0","03/11/2021","","","Analyze"
"PYR","PyroGenesis Canada Inc.","","","Common stocks","$1,642,036,218","03/11/2021","","USA","Analyze"
"RXDX","Prometheus Biosciences, Inc.","","Go","Common stocks","$0","03/11/2021","","USA","Analyze"
"WALDU","Waldencast Acquisition Corp.","Shell Companies","","Common stocks","$0","03/11/2021","","USA","Analyze"
"IBRX","ImmunityBio, Inc.","Biotechnology","Go","Common stocks","$3,720,995,819","03/10/2021","","USA","Analyze"
"QFTA","Quantum FinTech Acquisition Corporation","Shell Companies","Go","Common stocks","$0","03/10/2021","","USA","Analyze"
"RBLX","Roblox Corp","Electronic Gaming & Multimedia","Go","Common stocks","$0","03/10/2021","","USA","Analyze"
